modzcta,borocd,overlap_sqft,zip_total_sqft,area_weight
11215,307,32571787.110800378,61250778.00001044,0.5317775247000917
11215,306,28677171.026150275,61250778.00001044,0.4681927636273516
11216,303,17183058.520915356,26101208.69885285,0.6583242454082424
11216,308,8918003.194575464,26101208.69885285,0.3416701233061062
11217,306,10313804.519341338,21006575.99999255,0.4909798017223272
11217,302,9595085.486946244,21006575.99999255,0.4567657997643046
11217,308,1097382.1957272014,21006575.99999255,0.05223993647168347
11218,312,24143701.872170746,39825538.000014916,0.6062366783886687
11218,307,7955097.850554175,39825538.000014916,0.1997486600319422
11218,314,7725966.796917985,39825538.000014916,0.19399529008032715
11219,312,30104426.271744695,41318667.99999466,0.7285914026015695
11219,310,7965134.044511745,41318667.99999466,0.1927732531095333
11219,311,3249079.4133351436,41318667.99999466,0.07863466008477242
11220,307,29964206.020864557,48395448.00000394,0.6191533968414161
11220,310,14470018.79557794,48395448.00000394,0.29899545088572715
11220,312,3958630.372450032,48395448.00000394,0.08179757675659309
11221,303,20430340.402638473,38584635.99998349,0.5294941852670896
11221,304,18154108.118112203,38584635.99998349,0.4705009558239702
11222,301,42594223.48240217,42603314.000013806,0.9997866241670393
11223,315,28839255.008665092,57705733.99999618,0.49976411371298046
11223,311,16164421.705976801,57705733.99999618,0.28011811973447687
11223,313,12701388.757398874,57705733.99999618,0.22010618143076935
11224,313,44508273.01810709,44520150.00000162,0.9997332223297871
11225,309,23701672.15208893,24648007.999986798,0.9616059907194782
11226,314,20360345.05791681,35967542.00000655,0.5660755204765758
11226,317,14178876.96448506,35967542.00000655,0.39421312038733364
11226,309,1428107.6910811472,35967542.00000655,0.039705456966753164
11228,310,28932755.43120318,40991787.999997735,0.705818331984074
11228,311,12058702.31693687,40991787.999997735,0.2941736114789024
11229,315,55115821.872641504,60161543.999991685,0.9161304416098284
11229,318,4701161.9810327105,60161543.999991685,0.07814230933024857
11229,314,342925.1884857397,60161543.999991685,0.005700072931735048
11230,314,30274999.654857088,51294868.820301846,0.5902149737611696
11230,312,21018657.824639395,51294868.820301846,0.4097614109955669
11231,306,39018547.30673836,39025586.00001308,0.9998196390113214
11232,307,29391411.57159686,30726490.00002343,0.9565495952051292
11232,312,1330219.665659802,30726490.00002343,0.0432922753512942
11233,316,17938840.961736143,37564228.00000091,0.477551168141555
11233,303,15569035.881627243,37564228.00000091,0.4144644176269739
11233,308,4039201.2221934847,37564228.00000091,0.10752786460015595
11234,318,128219977.42497554,198703954.00003657,0.6452814593963839
11234,315,1847919.7807789345,198703954.00003657,0.009299864162635608
11235,315,45641986.067933545,62503691.9999861,0.7302286410208167
11235,313,16855168.487214804,62503691.9999861,0.2696667660402933
11236,318,82044611.32411738,96933527.99999535,0.8464007554137647
